EmployeeID,Gender,Age,Department,JobRole,Salary,YearsAtCompany,PerformanceRating,TrainingHours,Attrition
1291,Female,46,Operations,Ops Manager,104399,16,4,20,No
1292,Male,50,HR,HR Manager,111784,15,3,25,No
1293,Female,58,Operations,Operations Analyst,77383,7,3,17,No
1294,Male,25,Sales,Account Manager,68247,2,2,27,No
1295,Male,39,Sales,Business Dev,108786,2,3,11,No
1296,Male,41,Operations,Project Manager,83300,12,3,34,No
1297,Male,28,Operations,Logistics Coordinator,67191,0,3,9,No
1298,Male,42,Sales,Business Dev,77229,10,1,34,No
1299,Female,38,HR,Recruiter,96213,3,3,38,No
1300,Male,28,HR,Recruiter,69178,7,3,38,No
