CustomerID,Gender,Age,Tenure,ContractType,PaymentMethod,InternetService,MonthlyCharges,TotalCharges,NumServices,TechSupport,OnlineBackup,Churn
CUST0058,Male,23,57,One Year,Electronic Check,No Internet,40.4,2271.43,2,Yes,Yes,No
CUST0059,Male,71,43,Two Year,Credit Card,Fiber Optic,65.45,2867.17,2,No,No,No
CUST0060,Male,60,22,Month-to-Month,Electronic Check,Fiber Optic,96.55,2181.63,3,No,No,No
CUST0061,Male,24,42,Month-to-Month,Electronic Check,No Internet,26.42,1131.69,3,No,Yes,Yes
CUST0062,Female,18,21,Month-to-Month,Mailed Check,DSL,69.52,1517.02,3,No,Yes,Yes
CUST0063,Male,56,58,Month-to-Month,Mailed Check,No Internet,31.23,1796.17,5,Yes,Yes,Yes
CUST0064,Male,38,64,Month-to-Month,Bank Transfer,DSL,41.96,2517.88,0,No,Yes,Yes
CUST0065,Female,42,1,Month-to-Month,Credit Card,Fiber Optic,80.21,74.01,2,No,Yes,Yes
CUST0066,Male,44,18,Month-to-Month,Electronic Check,No Internet,35.45,587.88,1,No,Yes,Yes
CUST0067,Male,19,48,One Year,Credit Card,Fiber Optic,108.54,5214.87,0,Yes,No,No
CUST0068,Male,26,23,One Year,Bank Transfer,Fiber Optic,98.24,2168.35,0,Yes,Yes,No
CUST0069,Male,50,31,One Year,Electronic Check,No Internet,24.14,729.51,3,Yes,No,No
CUST0070,Male,49,13,Two Year,Credit Card,No Internet,44.09,585.3,4,No,No,No
CUST0071,Female,55,32,One Year,Bank Transfer,DSL,58.46,1949.72,2,Yes,Yes,No
CUST0072,Female,51,10,Month-to-Month,Mailed Check,No Internet,20.55,202.23,5,No,Yes,No
CUST0073,Female,60,56,Month-to-Month,Mailed Check,No Internet,42.62,2366.44,2,Yes,No,No
CUST0074,Male,52,14,Two Year,Credit Card,DSL,73.39,1000.16,2,No,No,No
CUST0075,Female,45,9,One Year,Credit Card,DSL,63.2,587.37,4,Yes,Yes,No
CUST0076,Male,19,16,Month-to-Month,Bank Transfer,No Internet,35.33,582.14,3,Yes,Yes,Yes
CUST0077,Male,43,14,Month-to-Month,Mailed Check,DSL,50.11,662.55,3,Yes,No,Yes
CUST0078,Male,31,63,One Year,Mailed Check,No Internet,24.81,1470.31,0,Yes,Yes,No
CUST0079,Male,45,49,Month-to-Month,Bank Transfer,DSL,57.01,2791.49,3,Yes,Yes,Yes
CUST0080,Female,46,16,One Year,Mailed Check,Fiber Optic,74.23,1199.09,3,Yes,Yes,Yes
CUST0081,Female,72,4,One Year,Electronic Check,Fiber Optic,71.7,264.24,5,No,No,Yes
CUST0082,Female,24,2,Month-to-Month,Electronic Check,DSL,68.92,137.83,1,Yes,No,Yes
CUST0083,Male,24,59,Month-to-Month,Electronic Check,No Internet,25.57,1570.64,4,No,No,Yes
CUST0084,Female,48,18,Two Year,Electronic Check,No Internet,35.69,664.56,1,Yes,Yes,Yes
CUST0085,Male,65,19,One Year,Electronic Check,Fiber Optic,103.33,1834.43,4,Yes,No,No
CUST0086,Male,59,32,Month-to-Month,Bank Transfer,No Internet,37.9,1143.17,5,Yes,Yes,Yes
CUST0087,Female,47,33,Month-to-Month,Credit Card,No Internet,41.62,1357.59,4,Yes,Yes,No
CUST0088,Female,18,2,One Year,Electronic Check,DSL,60.12,112.46,3,Yes,No,No
CUST0089,Male,37,70,Two Year,Mailed Check,Fiber Optic,97.34,6635.63,4,No,No,No
CUST0090,Female,59,45,One Year,Bank Transfer,DSL,41.97,1896.38,3,Yes,No,No
CUST0091,Male,44,70,One Year,Bank Transfer,Fiber Optic,108.57,7604.18,2,Yes,No,No
CUST0092,Female,63,36,One Year,Credit Card,No Internet,40.45,1503.58,3,No,No,No
CUST0093,Male,71,49,Month-to-Month,Mailed Check,Fiber Optic,96.55,4670.9,4,No,Yes,Yes
CUST0094,Male,45,62,One Year,Mailed Check,Fiber Optic,87.32,5278.98,5,No,Yes,No
CUST0095,Male,64,72,Month-to-Month,Electronic Check,No Internet,35.19,2553.86,5,No,Yes,No
CUST0096,Female,42,44,One Year,Mailed Check,DSL,38.2,1602.96,1,Yes,Yes,Yes
CUST0097,Female,57,30,Two Year,Mailed Check,DSL,65.69,1818.89,0,No,No,No
CUST0098,Male,39,66,Two Year,Credit Card,No Internet,43.86,2956.31,3,No,No,Yes
CUST0099,Female,45,67,Two Year,Credit Card,Fiber Optic,66.38,4345.72,4,No,No,No
CUST0100,Female,61,17,Two Year,Bank Transfer,Fiber Optic,105.16,1836.61,4,Yes,Yes,No
CUST0101,Male,21,34,One Year,Credit Card,DSL,41.31,1351.98,4,Yes,Yes,No
CUST0102,Female,19,10,Month-to-Month,Electronic Check,DSL,61.09,633.75,0,Yes,No,No
CUST0103,Female,59,66,Two Year,Bank Transfer,Fiber Optic,90.04,5597.06,2,No,Yes,No
CUST0104,Male,52,56,One Year,Bank Transfer,Fiber Optic,81.06,4234.51,2,No,No,No
CUST0105,Male,36,30,One Year,Bank Transfer,Fiber Optic,68.97,2128.47,2,No,Yes,No
CUST0106,Female,24,11,Month-to-Month,Bank Transfer,DSL,36.5,395.61,0,No,Yes,Yes
CUST0107,Male,66,17,Month-to-Month,Credit Card,No Internet,28.59,497.57,3,No,Yes,No
CUST0108,Male,56,15,Month-to-Month,Bank Transfer,DSL,38.71,568.44,3,Yes,Yes,Yes
CUST0109,Female,34,52,Two Year,Mailed Check,Fiber Optic,78.17,4118.0,1,No,No,No
CUST0110,Male,56,25,One Year,Bank Transfer,DSL,49.43,1203.83,4,Yes,Yes,No
CUST0111,Male,27,64,Two Year,Bank Transfer,DSL,71.8,4527.98,2,Yes,No,No
CUST0112,Male,60,28,Two Year,Credit Card,DSL,48.84,1333.22,3,Yes,Yes,No
CUST0113,Male,46,35,Two Year,Credit Card,DSL,65.85,2258.33,5,Yes,No,No
CUST0114,Male,25,14,One Year,Mailed Check,Fiber Optic,86.47,1131.21,5,Yes,Yes,No
CUST0115,Female,63,45,Month-to-Month,Bank Transfer,DSL,60.59,2581.64,1,No,No,Yes
CUST0116,Female,68,24,Two Year,Electronic Check,No Internet,32.7,768.38,1,No,Yes,Yes
CUST0117,Male,53,18,Month-to-Month,Mailed Check,Fiber Optic,99.94,1748.95,3,Yes,No,Yes
CUST0118,Male,59,38,One Year,Credit Card,Fiber Optic,109.82,4135.78,4,Yes,No,No
CUST0119,Female,27,35,Two Year,Bank Transfer,Fiber Optic,73.21,2414.89,2,Yes,Yes,No
CUST0120,Male,67,64,Month-to-Month,Credit Card,DSL,37.01,2326.4,4,No,Yes,No
CUST0121,Male,42,21,Two Year,Credit Card,No Internet,26.07,512.69,0,Yes,No,No
CUST0122,Male,42,15,Month-to-Month,Mailed Check,No Internet,28.32,392.06,0,Yes,No,No
CUST0123,Female,44,33,Two Year,Electronic Check,Fiber Optic,93.56,2852.83,1,No,Yes,No
CUST0124,Female,23,45,One Year,Electronic Check,DSL,71.4,3242.92,5,Yes,No,No
CUST0125,Female,22,69,One Year,Bank Transfer,Fiber Optic,105.85,6971.44,3,Yes,No,Yes
CUST0126,Female,70,40,One Year,Credit Card,Fiber Optic,102.38,4046.86,5,No,No,No
CUST0127,Male,20,1,Two Year,Electronic Check,Fiber Optic,93.34,94.13,2,No,No,No
CUST0128,Male,29,3,One Year,Bank Transfer,DSL,74.85,232.27,0,Yes,Yes,No
CUST0129,Female,41,33,Month-to-Month,Mailed Check,No Internet,35.38,1207.45,3,Yes,No,Yes
CUST0130,Female,60,38,Month-to-Month,Electronic Check,No Internet,40.29,1513.06,1,No,Yes,Yes
CUST0131,Male,67,18,Month-to-Month,Bank Transfer,DSL,65.92,1215.98,3,No,Yes,Yes
CUST0132,Male,37,37,Month-to-Month,Mailed Check,No Internet,44.78,1657.52,1,No,Yes,Yes
CUST0133,Male,46,50,One Year,Credit Card,DSL,69.19,3311.74,2,Yes,No,No
CUST0134,Male,55,32,Month-to-Month,Credit Card,No Internet,28.77,885.76,3,Yes,Yes,Yes
CUST0135,Male,45,33,One Year,Electronic Check,Fiber Optic,77.64,2502.38,2,No,Yes,No
CUST0136,Male,72,60,One Year,Mailed Check,Fiber Optic,106.99,6236.65,4,Yes,No,Yes
CUST0137,Female,54,55,Month-to-Month,Electronic Check,Fiber Optic,74.86,4134.2,2,No,Yes,Yes
CUST0138,Female,24,66,Month-to-Month,Mailed Check,Fiber Optic,107.59,6559.13,2,No,No,Yes
CUST0139,Male,18,27,One Year,Credit Card,DSL,54.46,1414.52,4,No,No,No
CUST0140,Female,58,20,Month-to-Month,Credit Card,Fiber Optic,68.05,1404.77,3,No,No,Yes
CUST0141,Male,32,52,One Year,Mailed Check,Fiber Optic,102.46,5183.31,5,No,Yes,No
CUST0142,Female,32,20,Month-to-Month,Electronic Check,No Internet,38.6,786.23,1,Yes,No,No
CUST0143,Male,65,70,Month-to-Month,Credit Card,DSL,53.78,3491.96,0,Yes,No,Yes
CUST0144,Male,30,27,Month-to-Month,Mailed Check,Fiber Optic,72.21,1886.38,5,Yes,Yes,No
CUST0145,Female,46,71,One Year,Bank Transfer,Fiber Optic,93.44,6798.36,0,Yes,No,No
CUST0146,Female,38,56,Month-to-Month,Mailed Check,DSL,52.42,3031.76,3,No,Yes,Yes
CUST0147,Male,52,33,Month-to-Month,Electronic Check,No Internet,24.54,831.25,0,Yes,Yes,No
CUST0148,Female,70,13,One Year,Mailed Check,Fiber Optic,76.71,1025.27,3,Yes,Yes,Yes
CUST0149,Female,33,63,One Year,Bank Transfer,Fiber Optic,98.81,6448.34,1,No,Yes,Yes
CUST0150,Female,28,19,Month-to-Month,Credit Card,Fiber Optic,74.8,1353.84,4,Yes,No,No
CUST0151,Male,48,64,Two Year,Bank Transfer,Fiber Optic,89.09,5677.71,1,Yes,Yes,Yes
CUST0152,Male,72,43,Month-to-Month,Bank Transfer,Fiber Optic,92.18,3878.21,2,Yes,Yes,Yes
CUST0153,Male,50,24,Month-to-Month,Bank Transfer,No Internet,27.07,641.52,2,Yes,Yes,No
CUST0154,Female,40,3,Month-to-Month,Electronic Check,Fiber Optic,76.15,237.43,5,No,Yes,No
CUST0155,Male,26,37,One Year,Credit Card,Fiber Optic,100.21,3448.15,5,No,Yes,No
CUST0156,Male,43,54,Month-to-Month,Mailed Check,DSL,47.79,2471.18,3,No,No,Yes
CUST0157,Male,64,32,Two Year,Credit Card,DSL,58.95,1898.88,1,Yes,Yes,No
CUST0158,Male,72,33,One Year,Mailed Check,No Internet,40.93,1268.51,2,No,Yes,No
CUST0159,Male,50,6,One Year,Credit Card,Fiber Optic,106.43,663.37,3,Yes,No,Yes
CUST0160,Female,72,55,One Year,Bank Transfer,Fiber Optic,97.18,5270.05,0,Yes,Yes,No
CUST0161,Male,43,29,Month-to-Month,Electronic Check,DSL,54.03,1640.91,0,No,Yes,No
CUST0162,Male,60,18,Month-to-Month,Mailed Check,DSL,49.4,863.19,1,No,No,Yes
CUST0163,Female,26,49,Two Year,Credit Card,Fiber Optic,69.15,3556.25,3,Yes,Yes,No
CUST0164,Female,69,2,Month-to-Month,Mailed Check,Fiber Optic,78.79,145.01,1,No,Yes,No
CUST0165,Male,18,13,One Year,Credit Card,Fiber Optic,103.8,1404.69,2,Yes,Yes,No
CUST0166,Male,28,7,Month-to-Month,Credit Card,No Internet,41.89,270.86,5,Yes,No,Yes
CUST0167,Male,35,38,Month-to-Month,Bank Transfer,Fiber Optic,86.36,3342.86,1,Yes,No,No
CUST0168,Female,22,12,Month-to-Month,Credit Card,Fiber Optic,76.96,870.2,0,No,No,No
CUST0169,Female,55,34,Two Year,Electronic Check,Fiber Optic,100.2,3399.07,5,Yes,No,No
CUST0170,Female,34,27,One Year,Electronic Check,Fiber Optic,100.82,2816.76,2,No,Yes,Yes
CUST0171,Male,69,53,One Year,Mailed Check,No Internet,42.22,2286.19,5,Yes,Yes,No
CUST0172,Female,63,54,Month-to-Month,Electronic Check,Fiber Optic,69.61,3642.08,2,Yes,Yes,Yes
CUST0173,Male,37,51,One Year,Electronic Check,Fiber Optic,82.43,4050.92,5,No,No,No
CUST0174,Male,39,51,Month-to-Month,Bank Transfer,DSL,74.9,3779.26,4,Yes,Yes,Yes
CUST0175,Female,31,70,Month-to-Month,Electronic Check,No Internet,31.17,2132.16,2,Yes,Yes,Yes
CUST0176,Female,39,65,Month-to-Month,Mailed Check,No Internet,41.26,2783.2,4,Yes,Yes,Yes
CUST0177,Female,43,10,Two Year,Electronic Check,Fiber Optic,93.79,901.96,4,Yes,No,No
CUST0178,Female,38,23,Month-to-Month,Mailed Check,DSL,47.5,1091.89,4,Yes,Yes,No
CUST0179,Female,40,48,Month-to-Month,Credit Card,Fiber Optic,91.17,4189.9,2,No,Yes,No
CUST0180,Female,22,37,One Year,Credit Card,DSL,37.05,1378.36,3,No,Yes,No
CUST0181,Female,55,41,One Year,Credit Card,No Internet,25.68,1013.74,1,No,No,No
CUST0182,Male,36,61,Month-to-Month,Mailed Check,DSL,64.12,3652.39,1,Yes,No,Yes
CUST0183,Female,62,44,Month-to-Month,Mailed Check,No Internet,24.46,993.55,1,Yes,Yes,No
CUST0184,Male,43,50,Month-to-Month,Electronic Check,DSL,69.48,3355.37,2,No,No,Yes
CUST0185,Male,51,6,Month-to-Month,Credit Card,DSL,63.86,395.75,0,No,No,Yes
CUST0186,Male,41,38,Two Year,Electronic Check,No Internet,37.5,1463.04,4,Yes,No,No
CUST0187,Female,37,14,One Year,Bank Transfer,No Internet,22.72,327.97,0,No,No,No
CUST0188,Male,51,4,One Year,Bank Transfer,Fiber Optic,67.03,261.28,1,No,No,Yes
CUST0189,Female,24,72,One Year,Electronic Check,DSL,52.96,3871.58,3,No,Yes,Yes
CUST0190,Female,71,22,Month-to-Month,Credit Card,Fiber Optic,85.15,1816.9,2,No,Yes,No
CUST0191,Female,58,26,Month-to-Month,Electronic Check,Fiber Optic,82.65,2065.74,1,Yes,No,Yes
CUST0192,Male,49,43,Two Year,Electronic Check,Fiber Optic,107.15,4357.51,1,No,No,No
CUST0193,Female,44,42,Month-to-Month,Credit Card,No Internet,24.59,1042.54,3,Yes,Yes,No
CUST0194,Female,72,65,One Year,Credit Card,No Internet,22.29,1375.39,0,Yes,No,Yes
CUST0195,Female,39,61,One Year,Bank Transfer,Fiber Optic,81.1,4961.57,5,Yes,Yes,No
CUST0196,Female,58,59,One Year,Electronic Check,Fiber Optic,82.96,4869.32,1,No,Yes,Yes
CUST0197,Female,71,21,Month-to-Month,Electronic Check,DSL,59.88,1306.05,1,Yes,No,No
CUST0198,Male,33,9,Month-to-Month,Credit Card,DSL,74.0,688.65,1,No,No,Yes
CUST0199,Female,25,42,Two Year,Credit Card,No Internet,20.11,823.79,3,No,Yes,No
CUST0200,Male,39,39,Month-to-Month,Bank Transfer,Fiber Optic,80.23,2992.64,1,No,Yes,Yes
CUST0201,Male,21,58,One Year,Credit Card,DSL,37.25,2110.81,2,Yes,No,No
CUST0202,Male,45,53,Two Year,Mailed Check,DSL,74.27,4090.46,3,No,Yes,No
CUST0203,Male,31,45,One Year,Bank Transfer,Fiber Optic,82.99,3568.36,0,No,No,No
CUST0204,Female,54,56,One Year,Electronic Check,No Internet,26.72,1460.15,2,Yes,No,No
CUST0205,Female,52,58,One Year,Mailed Check,DSL,70.03,3978.52,0,Yes,No,No
CUST0206,Female,37,22,Month-to-Month,Mailed Check,No Internet,33.46,763.98,3,No,Yes,No
CUST0207,Female,35,68,One Year,Mailed Check,Fiber Optic,72.48,5062.44,0,Yes,Yes,Yes
CUST0208,Female,44,14,Two Year,Bank Transfer,Fiber Optic,108.17,1565.61,5,Yes,No,No
CUST0209,Male,20,63,One Year,Credit Card,No Internet,26.55,1640.62,5,Yes,No,No
CUST0210,Male,21,47,Month-to-Month,Electronic Check,DSL,46.71,2051.81,4,No,No,Yes
CUST0211,Male,22,18,Two Year,Electronic Check,DSL,41.98,726.06,2,No,Yes,No
CUST0212,Male,72,30,Two Year,Mailed Check,Fiber Optic,109.19,3313.11,3,Yes,Yes,No
CUST0213,Female,61,24,Month-to-Month,Mailed Check,DSL,63.06,1507.89,2,No,No,Yes
CUST0214,Male,31,9,One Year,Bank Transfer,No Internet,36.62,317.0,1,No,Yes,No
CUST0215,Female,42,34,One Year,Electronic Check,Fiber Optic,69.93,2415.3,3,Yes,Yes,No
CUST0216,Female,57,66,Two Year,Credit Card,DSL,74.57,4619.03,2,No,No,No
CUST0217,Male,70,15,Two Year,Electronic Check,DSL,35.9,534.13,5,Yes,No,No
CUST0218,Male,48,56,Two Year,Bank Transfer,No Internet,39.12,2249.94,4,No,Yes,No
CUST0219,Female,22,52,One Year,Mailed Check,No Internet,29.6,1483.17,0,Yes,Yes,No
CUST0220,Female,67,38,One Year,Mailed Check,DSL,68.39,2459.26,0,Yes,Yes,No
CUST0221,Male,48,64,One Year,Bank Transfer,DSL,69.91,4398.51,0,No,Yes,No
CUST0222,Female,48,68,One Year,Electronic Check,No Internet,34.18,2251.82,4,No,No,No
CUST0223,Male,22,16,Two Year,Mailed Check,DSL,40.39,617.39,3,No,No,No
CUST0224,Female,49,46,Month-to-Month,Bank Transfer,Fiber Optic,104.12,4966.1,5,No,No,No
CUST0225,Female,38,47,One Year,Credit Card,No Internet,29.35,1288.71,3,Yes,No,No
CUST0226,Male,47,8,Two Year,Electronic Check,Fiber Optic,66.59,521.42,0,No,Yes,Yes
CUST0227,Female,67,31,One Year,Credit Card,DSL,41.58,1353.39,1,No,No,Yes
CUST0228,Female,47,57,Month-to-Month,Credit Card,Fiber Optic,93.76,5124.02,5,No,Yes,No
CUST0229,Male,47,35,Two Year,Bank Transfer,No Internet,20.81,761.12,3,Yes,Yes,No
CUST0230,Male,48,41,Month-to-Month,Credit Card,Fiber Optic,97.89,4043.46,4,Yes,No,No
CUST0231,Male,34,21,Month-to-Month,Electronic Check,DSL,60.68,1251.25,4,Yes,Yes,Yes
CUST0232,Male,69,12,Two Year,Bank Transfer,No Internet,30.55,376.52,3,Yes,No,No
CUST0233,Male,65,19,Month-to-Month,Electronic Check,Fiber Optic,65.81,1230.16,3,Yes,Yes,Yes
CUST0234,Male,30,49,Two Year,Credit Card,Fiber Optic,107.33,5507.35,2,No,Yes,No
CUST0235,Male,46,15,One Year,Credit Card,DSL,43.06,665.75,3,No,No,No
CUST0236,Female,58,26,Month-to-Month,Mailed Check,DSL,35.22,852.21,0,Yes,Yes,Yes
CUST0237,Female,45,63,Month-to-Month,Credit Card,No Internet,42.35,2503.3,0,No,No,Yes
CUST0238,Male,50,57,Two Year,Mailed Check,No Internet,27.24,1582.33,4,No,Yes,No
CUST0239,Male,35,62,Two Year,Mailed Check,Fiber Optic,74.87,4728.73,3,No,Yes,Yes
CUST0240,Female,57,6,Month-to-Month,Bank Transfer,DSL,37.5,214.04,2,No,No,Yes
CUST0241,Female,23,14,Month-to-Month,Electronic Check,Fiber Optic,78.86,1059.28,5,Yes,No,Yes
CUST0242,Male,42,39,One Year,Mailed Check,No Internet,21.53,859.3,4,Yes,No,Yes
CUST0243,Female,39,65,Month-to-Month,Bank Transfer,Fiber Optic,76.91,5245.24,0,Yes,No,No
CUST0244,Male,45,20,Month-to-Month,Mailed Check,Fiber Optic,92.74,1776.83,2,Yes,No,Yes
CUST0245,Female,49,12,Month-to-Month,Mailed Check,Fiber Optic,101.4,1226.03,1,Yes,Yes,No
CUST0246,Female,55,19,Two Year,Mailed Check,Fiber Optic,81.75,1561.52,3,No,No,No
CUST0247,Female,23,37,Month-to-Month,Bank Transfer,Fiber Optic,71.6,2497.27,5,Yes,Yes,No
CUST0248,Female,41,9,Month-to-Month,Credit Card,DSL,58.53,496.66,0,Yes,Yes,Yes
CUST0249,Female,62,17,One Year,Credit Card,No Internet,20.01,342.84,1,Yes,Yes,No
CUST0250,Male,43,35,Two Year,Bank Transfer,DSL,42.07,1454.97,5,Yes,No,No
CUST0251,Male,71,13,Month-to-Month,Credit Card,No Internet,28.15,341.52,5,No,No,Yes
CUST0252,Female,40,70,Month-to-Month,Bank Transfer,Fiber Optic,86.8,5685.6,1,Yes,No,Yes
CUST0253,Male,61,8,Month-to-Month,Electronic Check,No Internet,30.57,231.4,2,Yes,Yes,No
CUST0254,Male,30,59,Month-to-Month,Bank Transfer,No Internet,33.85,1899.88,5,No,No,No
CUST0255,Female,33,56,Month-to-Month,Mailed Check,No Internet,26.76,1475.05,4,No,Yes,No
CUST0256,Male,33,11,One Year,Mailed Check,DSL,43.85,457.4,1,No,No,No
CUST0257,Male,56,60,One Year,Electronic Check,DSL,40.53,2407.57,5,Yes,Yes,No
CUST0258,Female,24,60,One Year,Bank Transfer,Fiber Optic,85.95,5072.66,4,Yes,No,No
CUST0259,Female,54,31,Month-to-Month,Bank Transfer,Fiber Optic,103.64,2979.96,5,No,Yes,Yes
CUST0260,Female,27,19,Month-to-Month,Mailed Check,Fiber Optic,80.86,1416.96,5,No,No,No
CUST0261,Male,32,32,Month-to-Month,Bank Transfer,Fiber Optic,93.33,3111.63,4,No,Yes,No
CUST0262,Female,23,57,Month-to-Month,Electronic Check,Fiber Optic,106.87,5635.71,1,Yes,Yes,Yes
CUST0263,Female,40,24,Month-to-Month,Mailed Check,Fiber Optic,91.61,2116.5,0,No,Yes,Yes
CUST0264,Male,23,35,Month-to-Month,Electronic Check,DSL,41.39,1450.36,0,No,No,No
CUST0265,Female,63,21,Month-to-Month,Electronic Check,Fiber Optic,93.46,1976.18,1,Yes,No,Yes
CUST0266,Female,55,33,Two Year,Mailed Check,No Internet,20.77,642.87,1,Yes,No,No
CUST0267,Male,49,48,Two Year,Bank Transfer,Fiber Optic,87.57,4373.46,2,Yes,Yes,No
CUST0268,Male,58,69,Month-to-Month,Bank Transfer,DSL,59.53,4121.89,5,Yes,Yes,Yes
CUST0269,Male,18,34,Month-to-Month,Mailed Check,Fiber Optic,71.74,2546.14,2,No,Yes,No
